News title,FB comment,Sentiment
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,อย่าลืมทำข่าวเรื่องจุดประทัดที่อยุธยานะคะ จุดกระจับแล้วโยนลงตรงที่เขาลอยกระทงกัน อันตรายมาก,neu
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,อารมแรงแท้นอ,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,สายไปเสียแล้ว,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,ทำข่าวเรื่องจุดประทัดด้วยสิ,q
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,ข่าวจุดประทัดโดนเด็กอยุธยาหน่อยครับ ช่องนี้น่าจะได้ข้อมูลเยอะ เพราะนักข่าวช่องนี้ไปโรงพักด้วย,neu
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,คอนเทนท์เอาใจคนโสด กะหากินกับยอดเอนเกจคนโสด ในสังคมยุคหิวคอนเทนท์,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,ถ้าไม่ไช่เพื่อนอย่าตลกกูบอกเลย อาจโดนเปิดหน้า,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,ทำงานที่ไหนจัดไป,q
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,คอนเท้นท์ขยะ,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,เขมรเขาลอยกระทงกัน,neu
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,ดังได้ ดับได้ ดับมาหลายเคสแล้ว#คอนเทนต์ขยะ,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,เขาจะเตะก่อกวนมันก็เรื่องของเขา ควรไปทำข่าวเรื่องจุดประทัดจะดีกว่า,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,ข่าวจุดประทัดหน่อยค่ะ,q
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,รับกรรมไปเถอะ😈👎😈,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,คนอีสาน ?,q
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,สันดานหมา,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,คนอีสาน,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,"โดย ”บิ๊กต่าย“  ยืนยัน การตั้งที่เป็นลักษณะเหมือนอาณาจักรไม่ได้อยู่ในประเทศไทย แต่อยู่ในประเทศเพื่อนบ้าน ซึ่งมีการประสานความร่วมมือกับตำรวจสากล และสหประชาชาติ การกระทำผิดที่เกี่ยวกับเรื่องหลอกลวง เช่น คอลเซนเตอร์, สแกมเมอร์ หรือการค้ามนุษย์ มีความเกี่ยวโยงและสัมพันธ์กัน",neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,สงสารท่านมากครับที่เขามาแฉแบบนี้,pos
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,มันคือความจริง,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ความจริงมักเจ็บปวดเสมอค่ะ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ผมรู้มาตั้งแต่ เด็กยันแก่แล้วครับ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,แล้วมันจริงมัยละท่าน  คนในย่อมรู้ดี,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,อ้ายทำใจไว้แล้วหล้า,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,คนในที่โดนดีดออกข้างนอกนะซี้,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ที่รับไม่ได้คือพวกคนเลวถ้าคนดีเค้ารับได้แน่นอน,pos
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ต้องรับให้ได้รู้อยู่แก่ใจ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,รับให้ได้ดิคับ ถ้าตำรวจดีจิงเขาไม่แฉหรอกคับ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ไม่รู้จริงหม้ายนะ😁,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ตำรวจเลวก็เยอะตำรวจดีก็มี,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,โจรในเครื่องแบบก็มีโจรนอกเครื่องแบบก็มีครับท่านเผื่อท่านยังไม่รู้,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ร้อยคนเป็น มีดี สัก1คนเป็นบุญแด่แผ่นดินแล้วแต่ชาตินี้ฝันเอา,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ไอ่พวกมีผลประโยชน์ส่วนตัว รับไม่ได้ ชั้นผู้น้อยเขาไม่เกี่ยว อย่าเหมารวม,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ทำกันเองทั้งนั้น,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,มันคือเรื่องจริง,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ขอโทษนะคับ แล้วท่านเป็นตำรวจที่ไหนใหญ่โตมาได้จนถึงทุกวันนี้ทำไมไม่รู้ไม่เห็นอะไรเลยเหรอ หรือว่าแกล้งโง่555,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ประชาชนเขาเจ็บปวดมานานกว่าท่านเยอะครับ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ก้ตำรวจนั้นแหละทำเอง เหมือนประชาชนไมารู้ แต่ประชาชนพูดไม่ได้,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,องค์กร ที่ชั่วที่สุด,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ดี10%,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,เจ็บปวดที่เขาเอาตวามจริงมาเปิดเผย,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,โจรถูกกฎหมาย,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ลากมาให้หมดครับ ข้าวต้ม,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ท่าน ต้องร้องให้ มีน้ำตาออกมา คนถึงจะเชื่อ คับ ท่าน,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ส่วยหลายอย่างครับท่าน,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้าดีจริง กลัวอะไรล่ะท่าน ก็รู้อยู่แก่ใจ หึหึ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,คนนอกก็รับไม่ได้เช่นกัน..พูดในฐานะคนเคยอยู่ในองค์กรนี้จึงรู้เห็นธาตุแท้องค์กรนี้ว่าเละเทะกันยังไง.,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ต้องมีมูลแหละผู้รักษากฏหมายต้องกล้าตรวจสอบคะ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,คนรู้ทั่วไทยแล้ว,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ทำเป็นรับไม่ได้..ถุยยย,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ทำตัวแหละ แถวบ้านนอกก็มีเอี่ยว ชาวบ้านรู้กัน,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,รับไม่ได้หรีอ,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ตำรวจระยำ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,พวกท่านก็แก้ไขซิตามจับคนที่ทำไม่ใช่จะมาแก้ตัวแบบพูดลอยๆ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,รับความจริงไม่ได้คนในเปิดความลับแฉกันเอง,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,เราเป็นลูกผู้ชายต้องยอมรับความจริงถึงมันจะเจ็บปวดปานตายเเต่มันคือเรื่องจริงที่ประชาชนคนไทยเขารับรู้เเละตัวตำรวจไทยก็รู้ดีว่ามันเป็นเรื่องจริงไม่ใช่คนดีไม่มีมีเเต่100จะมีคนดียุ1-2คน,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้าเป็นผม เป็น ผบ. มีคนว่ากล่าวแบบนี้ ผมจะตรวจสอบ ถ้ามีจริง จับ ไล่ออก ถ้าทำแบบนี้ได้ แก้ได้ ท่านเป็นฮีโล่ เลย ขอบอก,pos
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,วัวสันหลังหวะ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ใช่เลยย,pos
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,หาตีวดีๆยาก ตร ยิ่งยศใหญ่ยิ่งเลว,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ใช่ค่ะประชาชนรู้แต่ทำอะไรไม่ได้เพราะกฎหมายอยู่ในมือเขาคะ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ส่วนใหญ่คือเรื่องจริง,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ตอบอ้อมๆแอ้มๆ 555 ถ้าใสจริง ท้าชนโจ๊กเลยคับ ประชาชนได้ประโยช กล้าไหม ถ้าจ้อมูลไม่จริงค่อยฟ้องกลับ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,เจ็บปวดก็ท่องเอาใว้ครับ. เงินๆผลประโยชน์ๆ. #ส่วนบ้านเมืองจะเละแค่ไหนก็ช่าง,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,"อย่าเอาเรื่องจริงมาพูด ได้ยินแล้วท่านเจ็บปวด ,ถ้าเจ็บจนทนไม่ไหวก็ลาออกได้นะท่าน",neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ผมว่าจริงครับส่วนใหญ่,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,แดกมานานแล้ว,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้าท่านแน่จริงท่านต้องทำความจริงให้ประชาชนได้เห็นว่าองค์กรตำรวจไม่เห็นเหมือนที่เขาโจมตี,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ทน แช่ อยู่ได้?,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ตำรวจที่ดีๆมันน้อยกว่าตำรวจเลวครับท่านแค่แก้ไขเรื่องตั้งด่านประเทศไทยก็รุ่งเรืองกว่านี้นะถ้าเป็นไปได้อบรมวินัยสมองตำรวจอย่าให้คดโกงให้สำนึกถึงภาษีประชาชนอย่าเอาความเป็นโจรแบบถูกระเบียบที่หุ้มด้วยผ้าสีกากี,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,คนไทยมองตำรวจเป็นโจรขึ้นทุกวัน,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ประชาชนก็รับไม่ได้ครับ ที่ท่านปล่อยให้องค์กรของท่านเน่าเฟ๊ะขนาดนี้,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้าคน เคย เจอ ตำรวจ นอก กลั่นแกล้ง  จะ สมน้ำหน้า ครับ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้าดีจริงจะกลัวทำมัย,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถึงคิวล้างตำรวจเทาๆดำๆแล้วสิน่ะ ป้อบคอนมะถึงเวลานั่งดูละ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,คำพูดของโจร,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ตำรวจดีมีแต่ตอนถ่ายคลิปออกสื่อ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,เขาพูดความจริงทำไมจะรับไม่ได้หล่ะ555หรือตัวเองก็เป็นแบบที่เขาพูดถ้าไม่จริงก็รีบออกมาปราบปรามสิจะมาทำเป็นรับไม่ได้แบบนี้ไม่ได้นะ หรือว่าองค์กรนี้มีตำรวจชั่วเกินครึ่งประเทศไปแล้ว,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,แกอย่าโยงหรือมีเอี่ยวไม่ได้ทำผิดอย่าเดือดร้อน แก้ไขชิ ทุกวันนี่ประชาชนก็ระอากับตำรวจที่ออกดักจับตามถนนท้องไร่ท้องนาตั้งด่านบ่อยทำให้รถติด แต่ปากก็อ้างบังคับใช้กฎหมายบางครั้งตำรวจทำผิดเสียเองรถไม่ติแผ่นป้ายไม่ต่อทะเบียนเอารถหลวงไปใช้รับส่งครอบครัว ไม่สวมหมวกเหล่านี่ล่ะแค่บางส่วน,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ผมนึกถึงพล.ทปวิณตร.นํ้าดีที่ต้องลี้ภัยอยู่ต่างประเทศ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,เรื่องจริงรับไม่ได้ไงผวกเดียวกันแฉและเป็นคนในองค์กรจะรู้ดีกว่าใครๆดี30%.เน่า70%,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,เจ็บปวดที่เค้าแฉ หรือเจ็บปวดกับลูกน้องเลวๆ กันแน่,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,แทนที่จะแก้ไขหาตำรวจเลวๆ มาลงโทษ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้าต.รดีมันก็ไม่เจ็บปวดหรอก,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถามแม่ค้าในตลาดก็รู้😂😂😂,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,เหอะ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,คนในองค์กรทำชั่วจะปกป้องทำไม,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ก้เพราะมันมีไงเขาเลยพุด,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,เจ็บ ปวด อะไร รวย แล้ว รวย อีก คน ที่ เจ็บ ปวด คือ คน ไม่ มี จะ กิน,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ประชาชนเจ็บปวดมากกว่าทุกคนทํามาหากินเพือเสียภาษีเพื่อจะได้แบบปลอดภัยแต่กับต้องมาเจอสิ่งที่เจ้าหน้ารัฐพัวพันธุ์กับรับสินบนครับ,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ปชช เจ็บปวดยิ่งกว่าพวกท่านหลายร้อยเท่ายิ่งนัก เพราะ ปชช คือผู้ถูกกระทำ ส่วนท่านเล่นตามบท ตามน้ำ ....,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ความจริง คี่น. ความจริง.  ยอมรับ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ภายนอกตรงไหนจริงคนทีต้องเป็น ผบ ทีเต็มปากเต็มคำต้องคนภายนอกนี่ละแต่คนภายในมันอยากเป็นไงเลยทำพี่น้องร่วมอาชีพ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,จริงมั้ยล่ะหาหลักฐานมาหักล้างสิ,q
